index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec),bearing,vwind,winddirection,nowindpace
0,0,0,0,0,1,74,0,0,0,611.5241422,2.463386717,0,0,49.238819,16.513666,0,274.4965075,2,280,300
1,0,0,0,0,2,74,0.072622801,0,0,541.8533337,2.722690582,0,0,49.238819,16.513665,1,251.344824,2,280,300
2,0,0,0,0,3,74,0.295082467,0,0,477.1422891,3.009289591,0,0,49.238817,16.513665,2,251.9507633,2,280,300
3,0,27,0,0,4,71,3.209188518,0,0,323.3547792,3.401119269,0,0,49.238792,16.513653,3,275.3934907,2,280,300
4,0,27,0,0,5,71,3.44320215,0,0,350.9023841,3.74140643,0,0,49.238794,16.513652,4,268.678317,2,280,300
5,0,27,0,0,6,71,3.576040971,0,0,342.9886493,4.262429521,0,0,49.238793,16.513651,5,278.89264,2,280,300
6,0,27,0,0,7,71,4.309899862,0,0,316.0102332,4.925474402,0,0,49.238796,16.513642,6,284.5514964,2,280,300
7,0,18,0,0,8,71,6.082228461,0,0,281.846471,5.66169787,0,0,49.238806,16.513623,7,288.4690401,2,280,300
8,0,18,0,0,9,71,8.108911705,0,0,260.5857777,6.129211898,0,0,49.238818,16.513602,8,291.2048742,2,280,300
9,0,18,0,0,10,71,10.00802973,0,0,246.8524202,6.819076955,0,0,49.238829,16.513582,9,293.1143229,2,280,300
10,0,16,0,0,11,71,12.93512664,0,0,226.876054,7.28519106,0,0,49.238845,16.51355,10,294.8968206,2,280,300
11,0,16,0,0,12,71,15.69243315,0,0,217.4739016,7.608743428,0,0,49.238861,16.513521,11,296.2931354,2,280,300
12,66.57965933,16,1.35,1215,13,71,18.34045911,0,106.9948181,209.9983826,8.083572613,2535,0,49.238877,16.513494,12,297.1257617,2,280,188.8322374
13,68.57405801,19,1.35,1196.961153,14,71,21.77324337,0,114.1872536,199.3275196,8.145553374,2454.354637,0,49.238897,16.513458,13,297.7009378,2,280,185.412159
14,70.56845669,19,1.35,1178.922306,15,71,24.95213584,0,121.379689,194.9511603,8.247646291,2373.709273,0,49.238915,16.513424,14,298.2581481,2,280,181.9920807
15,72.56285537,19,1.35,1160.883459,16,71,27.83695367,0,128.5721244,192.0227154,8.497501153,2293.06391,0,49.238932,16.513394,15,298.2708764,2,280,178.5720023
16,74.55725406,19,1.35,1142.844612,17,75,31.37081018,0,135.7645599,185.9518281,8.552499352,2212.418546,0,49.238951,16.513355,16,298.447799,2,280,175.1519239
17,76.55165274,19,1.35,1124.805764,18,75,34.60643267,0,142.9569953,184.3050081,8.583669194,2131.773183,0,49.238969,16.51332,17,298.4716726,2,280,171.7318455
18,78.54605142,19,1.35,1106.766917,19,75,37.60245405,0,150.1494308,183.1629764,8.702170857,2051.12782,0,49.238986,16.513288,18,298.3050639,2,280,168.3117671
19,77.97465428,20,1.35,1107.26817,20,96,40.96421947,0,151.0814956,180.234489,8.764614854,2000.501253,0,49.239005,16.513252,19,298.1614577,2,280,167.7471277
20,77.40325714,20,1.35,1107.769424,21,96,44.65255009,0,152.0135604,177.8755972,8.675373764,1949.874687,0,49.239027,16.513214,20,297.6906201,2,280,167.1824882
21,76.83185999,20,1.35,1108.270677,22,96,47.71998452,0,152.9456252,179.3444828,8.734108305,1899.24812,0,49.239045,16.513182,21,296.9339251,2,280,166.6178488
22,76.26046285,20,1.35,1108.77193,23,105,51.19590246,0,153.87769,177.7676747,8.640932643,1848.621554,0,49.239064,16.513144,22,296.4438023,2,280,166.0532094
23,75.68906571,20,1.35,1109.273183,24,105,54.20868902,0,154.8097548,179.4763532,8.647026384,1797.994987,0,49.239082,16.513113,23,295.5314225,2,280,165.48857
24,75.11766857,21,1.35,1109.774436,25,108,57.45877799,0,155.7418196,179.1512978,8.607873708,1747.368421,0,49.239101,16.513079,24,294.388332,2,280,164.9239305
25,78.61609938,21,1.35,1100.75188,26,108,60.87732119,0,156.3445325,179.3242645,8.493246727,1946.867168,0,49.23912,16.513042,25,293.2649885,2,280,165.8984515
26,82.11453018,21,1.35,1091.729323,27,108,63.87333706,0,156.9472453,181.881155,8.372642311,2146.365915,0,49.239137,16.51301,26,291.8469905,2,280,166.8729725
27,85.61296099,21,1.35,1082.706767,28,108,66.43453683,0,157.5499582,184.8152875,8.244041823,2345.864662,0,49.239151,16.512982,27,290.3514394,2,280,167.8474935
28,89.11139179,21,1.35,1073.684211,29,108,68.44690776,0,158.1526711,188.2092807,8.278997845,2545.363409,0,49.239162,16.51296,28,288.6309045,2,280,168.8220145
29,92.6098226,15,1.35,1064.661654,30,111,70.88322142,0,158.7553839,187.8001547,8.313881408,2744.862155,0,49.239175,16.512933,29,286.8982977,2,280,169.7965355
30,96.10825341,15,1.35,1055.639098,31,111,72.83843305,0,159.3580968,190.3625194,8.498573201,2944.360902,0,49.239186,16.512912,30,284.9442846,2,280,170.7710565
31,88.51279311,17,1.35,1087.028565,32,111,75.72324185,0,151.6297218,187.472395,8.445672959,2662.971435,0,49.239203,16.512882,31,282.4467851,2,280,172.046081
32,80.91733282,17,1.35,1118.418033,33,111,78.83326746,0,143.9013468,187.1168381,8.267515342,2381.581967,0,49.23922,16.512848,32,280.0224436,2,280,173.3211054
33,73.32187253,17,1.35,1149.807501,34,111,81.22516354,0,136.1729718,190.3674941,8.408945698,2100.192499,0,49.239234,16.512823,33,277.0521737,2,280,174.5961298
34,65.72641224,24,1.35,1181.196968,35,111,84.76980147,0,128.4445969,186.972429,8.112162662,1818.803032,0,49.239254,16.512785,34,273.8491617,2,280,175.8711542
35,58.13095195,24,1.35,1212.586436,36,111,88.13155586,0,120.7162219,188.7535203,7.932737888,1537.413564,0,49.239273,16.512749,35,270.2162313,2,280,177.1461786
36,50.53549165,24,1.35,1243.975904,37,111,90.87569369,0,112.9878469,192.6844862,7.905456426,1256.024096,0,49.239288,16.512719,36,266.2818221,2,280,178.421203
37,42.11290971,19,1.35,1036.646586,38,112,94.16865839,0,94.15653906,192.6367322,7.945369185,1046.686747,0,49.239306,16.512683,37,262.0407915,2,280,198.6843358
38,33.69032777,19,1.35,829.3172691,39,112,97.65705178,0,75.32523125,194.3685176,7.717629569,837.3493976,0,49.239326,16.512646,38,257.2001527,2,280,218.9474687
39,25.26774583,19,1.35,621.9879518,40,112,100.4702024,0,56.49392344,200.1684633,7.6638182,628.0120482,0,49.239342,16.512616,39,251.8410767,2,280,239.2106015
40,16.84516388,20,1.35,414.6586345,41,114,103.8319532,0,37.66261563,201.6982961,7.482122538,418.6746988,0,49.239361,16.51258,40,245.993107,2,280,259.4737343
41,8.422581942,20,1.35,207.3293173,42,114,107.2647179,0,18.83130781,205.8999112,7.207600893,209.3373494,0,49.239381,16.512544,41,239.4573118,2,280,279.7368672
42,0,20,0,0,43,114,110.1495202,0,0,213.8779925,7.02130017,0,0,49.239398,16.512514,42,232.0480421,2,280,300
43,0,19,0,0,44,116,113.2022005,0,0,219.6907162,6.898525448,0,0,49.239415,16.512481,43,224.0973592,2,280,300
44,0,19,0,0,45,116,116.8176752,0,0,224.6804225,6.566931253,0,0,49.239436,16.512443,44,215.2040393,2,280,300
45,0,19,0,0,46,116,120.0677507,0,0,236.2463342,6.287401881,0,0,49.239455,16.512409,45,205.1896267,2,280,300
46,0,19,0,0,47,120,123.5436505,0,0,246.9930018,5.956339834,0,0,49.239474,16.512371,46,194.3979935,2,280,300
47,0,19,0,0,48,120,127.2148535,0,0,260.9214426,5.445375115,0,0,49.239495,16.512332,47,182.2942674,2,280,300
48,0,19,0,0,49,120,130.26753,0,0,285.4543839,4.60606109,0,0,49.239512,16.512299,48,168.9468824,2,280,300
49,0,11,0,0,50,137,130.816356,0,0,337.0890359,4.089808179,0,0,49.239515,16.512293,49,139.5114794,2,280,300
50,0,11,0,0,51,137,130.816356,0,0,379.4983025,3.697923565,0,0,49.239515,16.512293,50,126.143517,2,280,300
51,0,11,0,0,52,137,130.816356,0,0,419.689487,3.343795257,0,0,49.239515,16.512293,51,114.063497,2,280,300
52,0,11,0,0,53,137,130.816356,0,0,464.1113224,3.023748071,0,0,49.239515,16.512293,52,103.1460519,2,280,300
53,0,11,0,0,54,137,130.816356,0,0,513.2091406,2.734471397,0,0,49.239515,16.512293,53,93.27825008,2,280,300
54,0,11,0,0,55,137,130.816356,0,0,567.4751501,2.472981796,0,0,49.239515,16.512293,54,84.35832045,2,280,300
55,0,11,0,0,56,137,130.816356,0,0,627.4533711,2.23658965,0,0,49.239515,16.512293,55,76.29451488,2,280,300
56,0,11,0,0,57,137,130.816356,0,0,693.7450891,2.022869405,0,0,49.239515,16.512293,56,69.00409287,2,280,300
57,0,11,0,0,58,137,130.816356,0,0,767.0148827,1.829632967,0,0,49.239515,16.512293,57,62.4124142,2,280,300
58,0,11,0,0,59,137,130.816356,0,0,847.9972861,1.654905905,0,0,49.239515,16.512293,58,56.45212708,2,280,300
59,0,11,0,0,60,137,130.816356,0,0,937.504153,1.496906132,0,0,49.239515,16.512293,59,51.06244106,2,280,300
60,0,11,0,0,61,137,130.816356,0,0,1036.432795,1.354024807,0,0,49.239515,16.512293,60,46.18847529,2,280,300
61,0,11,0,0,62,137,130.816356,0,0,1145.774979,1.224809183,0,0,49.239515,16.512293,61,41.78067372,2,280,300
62,0,11,0,0,63,137,130.816356,0,0,1266.626866,1.10794722,0,0,49.239515,16.512293,62,37.79428009,2,280,300
63,0,11,0,0,64,137,130.816356,0,0,1400.200005,1.002253757,0,0,49.239515,16.512293,63,34.18886615,2,280,300
64,0,11,0,0,65,137,130.816356,0,0,1547.833474,0.906658074,0,0,49.239515,16.512293,64,30.92790753,2,280,300
65,0,11,0,0,66,137,130.816356,0,0,1711.007308,0.820192707,0,0,49.239515,16.512293,65,27.97840216,2,280,300
66,0,11,0,0,67,137,130.816356,0,0,1891.357335,0.741983384,0,0,49.239515,16.512293,66,25.31052682,2,280,300
67,0,11,0,0,68,137,130.816356,0,0,2090.691576,0.671239953,0,0,49.239515,16.512293,67,22.89732791,2,280,300
68,0,11,0,0,69,137,130.816356,0,0,2311.008368,0.607248219,0,0,49.239515,16.512293,68,20.71444276,2,280,300
69,0,11,0,0,70,137,130.816356,0,0,2554.516401,0.549362578,0,0,49.239515,16.512293,69,18.73984858,2,280,300
70,0,11,0,0,71,137,130.816356,0,0,2823.656859,0.496999383,0,0,49.239515,16.512293,70,16.95363599,2,280,300
71,0,11,0,0,72,137,130.816356,0,0,3121.127892,0.449630955,0,0,49.239515,16.512293,71,15.33780486,2,280,300
72,0,11,0,0,73,137,130.816356,0,0,3449.911664,0.406780188,0,0,49.239515,16.512293,72,13.87608009,2,280,300
73,0,11,0,0,74,137,130.816356,0,0,3813.304255,0.368015669,0,0,49.239515,16.512293,73,12.55374535,2,280,300
74,0,11,0,0,75,137,130.816356,0,0,4214.948698,0.332947283,0,0,49.239515,16.512293,74,11.35749305,2,280,300
75,0,11,0,0,76,137,130.816356,0,0,4658.871503,0.301222241,0,0,49.239515,16.512293,75,10.27528888,2,280,300
76,0,11,0,0,77,137,130.816356,0,0,5149.523025,0.272521496,0,0,49.239515,16.512293,76,9.296249445,2,280,300
77,0,11,0,0,78,137,130.816356,0,0,5691.822074,0.246556498,0,0,49.239515,16.512293,77,8.4105318,2,280,300
78,0,11,0,0,79,137,130.816356,0,0,6291.205235,0.223066275,0,0,49.239515,16.512293,78,7.609233648,2,280,300
79,0,11,0,0,80,137,130.816356,0,0,6953.68136,0.201814786,0,0,49.239515,16.512293,79,6.88430316,2,280,300
80,0,11,0,0,81,137,130.816356,0,0,7685.891813,0.182588534,0,0,49.239515,16.512293,80,6.228457506,2,280,300
81,0,11,0,0,82,137,130.816356,0,0,8495.177051,0.165194405,0,0,49.239515,16.512293,81,5.635109223,2,280,300
82,0,11,0,0,83,137,130.816356,0,0,9389.650209,0.14945772,0,0,49.239515,16.512293,82,5.098299669,2,280,300
83,0,11,0,0,84,137,130.816356,0,0,10378.27844,0.135220473,0,0,49.239515,16.512293,83,4.612638874,2,280,300
84,0,11,0,0,85,137,130.816356,0,0,11470.97279,0.12233973,0,0,49.239515,16.512293,84,4.173251164,2,280,300
85,0,11,0,0,86,137,130.816356,0,0,12678.68761,0.110686197,0,0,49.239515,16.512293,85,3.775726009,2,280,300
86,0,11,0,0,87,137,130.816356,0,0,14013.5303,0.100142911,0,0,49.239515,16.512293,86,3.416073576,2,280,300
87,0,11,0,0,88,137,130.816356,0,0,15488.88275,0.090604063,0,0,49.239515,16.512293,87,3.090684547,2,280,300
88,0,11,0,0,89,137,130.816356,0,0,17119.53545,0.081973937,0,0,49.239515,16.512293,88,2.796293784,2,280,300
